2025-03-28 00:00:57 +07 LOG:  database system was interrupted; last known up at 2025-03-24 15:29:46 +07
2025-03-28 00:00:58 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-03-28 00:00:58 +07 LOG:  redo starts at 0/D6048E0
2025-03-28 00:00:58 +07 LOG:  invalid record length at 0/D6049E8: expected at least 24, got 0
2025-03-28 00:00:58 +07 LOG:  redo done at 0/D6049B0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-03-28 00:00:58 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-03-28 00:00:58 +07 LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.002 s, total=0.008 s; sync files=3, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/D6049E8, redo lsn=0/D6049E8
2025-03-28 00:25:58 +07 LOG:  checkpoint starting: time
2025-03-28 00:26:07 +07 LOG:  checkpoint complete: wrote 81 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.419 s, sync=0.029 s, total=8.452 s; sync files=70, longest=0.001 s, average=0.001 s; distance=204 kB, estimate=204 kB; lsn=0/D637BD8, redo lsn=0/D637B80
2025-03-28 00:35:58 +07 LOG:  checkpoint starting: time
2025-03-28 00:40:28 +07 LOG:  checkpoint complete: wrote 2507 buffers (15.3%); 0 WAL file(s) added, 0 removed, 1 recycled; write=269.890 s, sync=0.206 s, total=270.102 s; sync files=679, longest=0.002 s, average=0.001 s; distance=21669 kB, estimate=21669 kB; lsn=0/EB84A50, redo lsn=0/EB612D0
2025-03-28 00:55:58 +07 LOG:  checkpoint starting: time
2025-03-28 00:56:11 +07 LOG:  checkpoint complete: wrote 121 buffers (0.7%); 0 WAL file(s) added, 0 removed, 0 recycled; write=12.824 s, sync=0.017 s, total=12.845 s; sync files=40, longest=0.001 s, average=0.001 s; distance=761 kB, estimate=19579 kB; lsn=0/EC1FB48, redo lsn=0/EC1FAB8
2025-03-28 01:00:58 +07 LOG:  checkpoint starting: time
2025-03-28 01:01:02 +07 LOG:  checkpoint complete: wrote 37 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.895 s, sync=0.011 s, total=3.911 s; sync files=23, longest=0.001 s, average=0.001 s; distance=141 kB, estimate=17635 kB; lsn=0/EC43300, redo lsn=0/EC432A8
2025-03-28 01:04:06 +07 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-03-28 01:04:06 +07 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-03-28 01:04:06 +07 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-03-28 01:04:06 +07 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-03-28 01:04:06 +07 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-03-28 01:04:06 +07 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-03-28 01:04:06 +07 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-03-28 01:04:14 +07 ERROR:  canceling statement due to user request
2025-03-28 01:04:14 +07 LOG:  shutting down
2025-03-28 01:04:14 +07 LOG:  checkpoint starting: shutdown immediate
2025-03-28 01:04:14 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.005 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=15871 kB; lsn=0/EC433B0, redo lsn=0/EC433B0
